date,country,admin1,market,commodity,unit,currency,price,source
2022-10-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2879.0,Synthetic Cambodia food price series
2022-11-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2981.0,Synthetic Cambodia food price series
2022-12-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,2987.0,Synthetic Cambodia food price series
2023-01-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3055.0,Synthetic Cambodia food price series
2023-02-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3138.0,Synthetic Cambodia food price series
2023-03-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3233.0,Synthetic Cambodia food price series
2023-04-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3256.0,Synthetic Cambodia food price series
2023-05-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3249.0,Synthetic Cambodia food price series
2023-06-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3209.0,Synthetic Cambodia food price series
2023-07-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3215.0,Synthetic Cambodia food price series
2023-08-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3055.0,Synthetic Cambodia food price series
2023-09-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3009.0,Synthetic Cambodia food price series
2023-10-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3531.0,Synthetic Cambodia food price series
2023-11-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3620.0,Synthetic Cambodia food price series
2023-12-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3713.0,Synthetic Cambodia food price series
2024-01-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3761.0,Synthetic Cambodia food price series
2024-02-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3240.0,Synthetic Cambodia food price series
2024-03-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3304.0,Synthetic Cambodia food price series
2024-04-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3391.0,Synthetic Cambodia food price series
2024-05-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3386.0,Synthetic Cambodia food price series
2024-06-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3335.0,Synthetic Cambodia food price series
2024-07-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3225.0,Synthetic Cambodia food price series
2024-08-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3196.0,Synthetic Cambodia food price series
2024-09-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3148.0,Synthetic Cambodia food price series
2024-10-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3141.0,Synthetic Cambodia food price series
2024-11-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3196.0,Synthetic Cambodia food price series
2024-12-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3235.0,Synthetic Cambodia food price series
2025-01-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3337.0,Synthetic Cambodia food price series
2025-02-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3397.0,Synthetic Cambodia food price series
2025-03-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3471.0,Synthetic Cambodia food price series
2025-04-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3515.0,Synthetic Cambodia food price series
2025-05-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3424.0,Synthetic Cambodia food price series
2025-06-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3423.0,Synthetic Cambodia food price series
2025-07-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3351.0,Synthetic Cambodia food price series
2025-08-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3279.0,Synthetic Cambodia food price series
2025-09-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3247.0,Synthetic Cambodia food price series
2025-10-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3305.0,Synthetic Cambodia food price series
2025-11-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3243.0,Synthetic Cambodia food price series
2025-12-01,Cambodia,Phnom Penh,Phnom Penh,"Rice (mixed, low quality)",kg,KHR,3380.0,Synthetic Cambodia food price series
2021-01-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6601.0,Synthetic Cambodia food price series
2021-02-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6903.0,Synthetic Cambodia food price series
2021-03-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7086.0,Synthetic Cambodia food price series
2021-04-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7191.0,Synthetic Cambodia food price series
2021-05-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7186.0,Synthetic Cambodia food price series
2021-06-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7105.0,Synthetic Cambodia food price series
2021-07-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6867.0,Synthetic Cambodia food price series
2021-08-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6725.0,Synthetic Cambodia food price series
2021-09-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6756.0,Synthetic Cambodia food price series
2021-10-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6639.0,Synthetic Cambodia food price series
2021-11-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6603.0,Synthetic Cambodia food price series
2021-12-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6755.0,Synthetic Cambodia food price series
2022-01-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6956.0,Synthetic Cambodia food price series
2022-02-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7271.0,Synthetic Cambodia food price series
2022-03-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7379.0,Synthetic Cambodia food price series
2022-04-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7497.0,Synthetic Cambodia food price series
2022-05-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7375.0,Synthetic Cambodia food price series
2022-06-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8361.0,Synthetic Cambodia food price series
2022-07-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8248.0,Synthetic Cambodia food price series
2022-08-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8003.0,Synthetic Cambodia food price series
2022-09-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7965.0,Synthetic Cambodia food price series
2022-10-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7837.0,Synthetic Cambodia food price series
2022-11-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,6961.0,Synthetic Cambodia food price series
2022-12-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7102.0,Synthetic Cambodia food price series
2023-01-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7214.0,Synthetic Cambodia food price series
2023-02-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7560.0,Synthetic Cambodia food price series
2023-03-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7617.0,Synthetic Cambodia food price series
2023-04-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7731.0,Synthetic Cambodia food price series
2023-05-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7754.0,Synthetic Cambodia food price series
2023-06-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7653.0,Synthetic Cambodia food price series
2023-07-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7529.0,Synthetic Cambodia food price series
2023-08-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7314.0,Synthetic Cambodia food price series
2023-09-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7183.0,Synthetic Cambodia food price series
2023-10-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7192.0,Synthetic Cambodia food price series
2023-11-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7111.0,Synthetic Cambodia food price series
2023-12-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7281.0,Synthetic Cambodia food price series
2024-01-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7486.0,Synthetic Cambodia food price series
2024-02-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7712.0,Synthetic Cambodia food price series
2024-03-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7992.0,Synthetic Cambodia food price series
2024-04-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7942.0,Synthetic Cambodia food price series
2024-05-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7969.0,Synthetic Cambodia food price series
2024-06-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8022.0,Synthetic Cambodia food price series
2024-07-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7718.0,Synthetic Cambodia food price series
2024-08-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7669.0,Synthetic Cambodia food price series
2024-09-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7408.0,Synthetic Cambodia food price series
2024-10-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7451.0,Synthetic Cambodia food price series
2024-11-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7452.0,Synthetic Cambodia food price series
2024-12-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7661.0,Synthetic Cambodia food price series
2025-01-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7971.0,Synthetic Cambodia food price series
2025-02-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7934.0,Synthetic Cambodia food price series
2025-03-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8291.0,Synthetic Cambodia food price series
2025-04-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8345.0,Synthetic Cambodia food price series
2025-05-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8244.0,Synthetic Cambodia food price series
2025-06-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8057.0,Synthetic Cambodia food price series
2025-07-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,8042.0,Synthetic Cambodia food price series
2025-08-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7828.0,Synthetic Cambodia food price series
2025-09-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7789.0,Synthetic Cambodia food price series
2025-10-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7743.0,Synthetic Cambodia food price series
2025-11-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7962.0,Synthetic Cambodia food price series
2025-12-01,Cambodia,Phnom Penh,Phnom Penh,Vegetable oil,liter,KHR,7948.0,Synthetic Cambodia food price series
2021-01-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,16120.0,Synthetic Cambodia food price series
2021-02-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,16817.0,Synthetic Cambodia food price series
2021-03-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17156.0,Synthetic Cambodia food price series
2021-04-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17571.0,Synthetic Cambodia food price series
2021-05-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17413.0,Synthetic Cambodia food price series
2021-06-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17091.0,Synthetic Cambodia food price series
2021-07-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17023.0,Synthetic Cambodia food price series
2021-08-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,16106.0,Synthetic Cambodia food price series
2021-09-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,16009.0,Synthetic Cambodia food price series
2021-10-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,15898.0,Synthetic Cambodia food price series
2021-11-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,16175.0,Synthetic Cambodia food price series
2021-12-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,16288.0,Synthetic Cambodia food price series
2022-01-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17180.0,Synthetic Cambodia food price series
2022-02-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17429.0,Synthetic Cambodia food price series
2022-03-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17489.0,Synthetic Cambodia food price series
2022-04-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17754.0,Synthetic Cambodia food price series
2022-05-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18009.0,Synthetic Cambodia food price series
2022-06-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,20381.0,Synthetic Cambodia food price series
2022-07-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,20263.0,Synthetic Cambodia food price series
2022-08-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,20087.0,Synthetic Cambodia food price series
2022-09-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19260.0,Synthetic Cambodia food price series
2022-10-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18886.0,Synthetic Cambodia food price series
2022-11-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,16443.0,Synthetic Cambodia food price series
2022-12-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17329.0,Synthetic Cambodia food price series
2023-01-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17540.0,Synthetic Cambodia food price series
2023-02-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18087.0,Synthetic Cambodia food price series
2023-03-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18395.0,Synthetic Cambodia food price series
2023-04-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18669.0,Synthetic Cambodia food price series
2023-05-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18892.0,Synthetic Cambodia food price series
2023-06-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18450.0,Synthetic Cambodia food price series
2023-07-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18031.0,Synthetic Cambodia food price series
2023-08-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17483.0,Synthetic Cambodia food price series
2023-09-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17096.0,Synthetic Cambodia food price series
2023-10-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17308.0,Synthetic Cambodia food price series
2023-11-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17571.0,Synthetic Cambodia food price series
2023-12-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18338.0,Synthetic Cambodia food price series
2024-01-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18439.0,Synthetic Cambodia food price series
2024-02-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19104.0,Synthetic Cambodia food price series
2024-03-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19134.0,Synthetic Cambodia food price series
2024-04-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19151.0,Synthetic Cambodia food price series
2024-05-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19148.0,Synthetic Cambodia food price series
2024-06-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18954.0,Synthetic Cambodia food price series
2024-07-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19232.0,Synthetic Cambodia food price series
2024-08-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18203.0,Synthetic Cambodia food price series
2024-09-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18321.0,Synthetic Cambodia food price series
2024-10-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,17870.0,Synthetic Cambodia food price series
2024-11-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18452.0,Synthetic Cambodia food price series
2024-12-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18698.0,Synthetic Cambodia food price series
2025-01-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19062.0,Synthetic Cambodia food price series
2025-02-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19576.0,Synthetic Cambodia food price series
2025-03-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19813.0,Synthetic Cambodia food price series
2025-04-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,20236.0,Synthetic Cambodia food price series
2025-05-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19976.0,Synthetic Cambodia food price series
2025-06-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19543.0,Synthetic Cambodia food price series
2025-07-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19153.0,Synthetic Cambodia food price series
2025-08-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19098.0,Synthetic Cambodia food price series
2025-09-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19148.0,Synthetic Cambodia food price series
2025-10-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18765.0,Synthetic Cambodia food price series
2025-11-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,18876.0,Synthetic Cambodia food price series
2025-12-01,Cambodia,Phnom Penh,Phnom Penh,Fish (snakehead),kg,KHR,19347.0,Synthetic Cambodia food price series
2021-01-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7212.0,Synthetic Cambodia food price series
2021-02-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7291.0,Synthetic Cambodia food price series
2021-03-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7373.0,Synthetic Cambodia food price series
2021-04-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7589.0,Synthetic Cambodia food price series
2021-05-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7506.0,Synthetic Cambodia food price series
2021-06-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7521.0,Synthetic Cambodia food price series
2021-07-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7252.0,Synthetic Cambodia food price series
2021-08-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,6976.0,Synthetic Cambodia food price series
2021-09-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,6866.0,Synthetic Cambodia food price series
2021-10-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7140.0,Synthetic Cambodia food price series
2021-11-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7215.0,Synthetic Cambodia food price series
2021-12-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7175.0,Synthetic Cambodia food price series
2022-01-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7345.0,Synthetic Cambodia food price series
2022-02-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7717.0,Synthetic Cambodia food price series
2022-03-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7614.0,Synthetic Cambodia food price series
2022-04-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7705.0,Synthetic Cambodia food price series
2022-05-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7836.0,Synthetic Cambodia food price series
2022-06-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7637.0,Synthetic Cambodia food price series
2022-07-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7531.0,Synthetic Cambodia food price series
2022-08-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7370.0,Synthetic Cambodia food price series
2022-09-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7318.0,Synthetic Cambodia food price series
2022-10-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7401.0,Synthetic Cambodia food price series
2022-11-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7342.0,Synthetic Cambodia food price series
2022-12-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7546.0,Synthetic Cambodia food price series
2023-01-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7480.0,Synthetic Cambodia food price series
2023-02-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7874.0,Synthetic Cambodia food price series
2023-03-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7949.0,Synthetic Cambodia food price series
2023-04-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7985.0,Synthetic Cambodia food price series
2023-05-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7997.0,Synthetic Cambodia food price series
2023-06-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7947.0,Synthetic Cambodia food price series
2023-07-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7918.0,Synthetic Cambodia food price series
2023-08-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7548.0,Synthetic Cambodia food price series
2023-09-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7574.0,Synthetic Cambodia food price series
2023-10-01,Cambodia,Phnom Penh,Phnom Penh,Eggs,10 pieces,KHR,7500.0,Synthetic Cambodia food price series
